"8qT0","1","9","4","18","7","11","3","15","8","6","17"
"mzN0","1","16","13","14","2","11","18","9","7","17","4"
"sHD0","1","18","1","11","14","13","12","17","2","10","15"
"BrS0","1","16","14","1","15","3","11","9","8","5","10"
"4bH0","1","7","15","11","17","1","9","12","3","18","10"
"Tj40","1","8","13","14","1","11","9","12","7","4","6"
"Ug40","1","16","2","1","8","5","6","10","11","9","12"
"sod0","1","11","12","18","5","10","17","3","9","16","13"
"PlP0","1","16","13","7","17","14","3","1","5","9","12"
"Uud0","1","18","5","1","8","13","2","10","12","16","3"
"nJU0","1","18","12","11","8","10","3","1","9","13","14"
"3Pi0","1","2","15","7","10","16","4","9","6","1","8"
"02G0","1","10","1","9","5","3","17","6","11","15","12"
"wd70","1","3","18","7","1","6","15","9","11","13","10"
"nOJ0","1","12","2","5","11","4","1","15","13","7","14"
"HfP0","1","15","4","17","7","8","11","6","18","10","9"
"HR70","1","16","11","10","3","8","2","14","5","18","17"
"L/Q0","1","1","6","9","4","12","14","10","7","16","8"
"C5J0","1","16","3","10","15","1","13","12","4","6","11"
"OQv0","1","14","6","1","13","8","9","16","11","18","10"
"8un0","1","1","11","9","4","7","6","12","5","3","10"
"usY0","1","11","18","15","17","12","8","9","6","5","1"
"+fp0","1","17","16","5","13","14","15","2","1","4","10"
"Abb0","1","10","11","13","5","2","17","4","7","6","8"
"WAJ0","1","14","16","12","10","17","7","5","15","13","8"
"W+b0","1","11","18","7","12","4","10","3","8","17","9"
"xej0","1","18","16","15","17","9","8","7","4","6","14"
"5J+0","1","18","17","7","9","15","6","11","16","2","8"
"Lc90","1","10","11","6","4","13","9","2","3","15","16"
"akt0","1","2","5","7","6","11","1","9","3","14","10"
"ftE0","1","2","4","18","15","1","11","10","8","3","16"
"wmJ0","1","7","6","3","9","16","18","8","12","15","2"
"qqG0","1","14","2","3","4","1","18","12","10","8","11"
"Egr0","1","6","10","1","14","5","8","11","2","15","4"
"c4t0","1","12","2","7","15","4","17","9","5","10","18"
"s1w0","1","9","3","16","2","17","5","12","13","11","15"
"era0","1","17","14","11","6","9","3","5","13","1","8"
"ohq0","1","2","7","8","6","3","4","10","9","17","13"
"cVQ0","1","7","17","12","15","10","3","18","6","2","5"
"E9U0","1","8","7","3","2","16","11","14","9","10","5"
"ziB0","1","12","16","14","2","4","8","3","17","10","7"
"wow0","1","8","7","16","2","6","9","17","5","18","4"
"bDO0","1","1","3","7","17","18","12","10","11","14","4"
"X9S0","1","8","1","15","10","7","5","4","12","9","16"
"+h80","1","2","16","12","8","18","10","13","14","7","17"
"YBr0","1","17","18","9","16","4","10","12","7","3","5"
"HyH0","1","18","11","6","12","10","14","3","16","2","4"
"KSe0","1","12","1","8","6","7","11","2","13","5","17"
"dW90","1","11","12","1","6","10","4","15","9","3","5"
"tPX0","1","2","10","12","1","15","5","13","4","16","11"
"VJU0","1","15","12","1","9","7","18","3","5","2","17"
"/Kl0","1","9","13","18","6","1","17","16","8","15","14"
"2FT0","1","8","6","18","10","7","4","3","11","15","17"
"sdO0","1","16","8","7","9","3","17","5","6","2","13"
"Kt+0","1","18","17","13","1","4","7","5","9","11","6"
"+TB0","1","17","8","11","7","1","12","14","13","2","4"
"bq70","1","7","1","4","13","18","15","5","11","3","8"
"vab0","1","8","9","6","1","12","18","4","3","16","13"
"BBW0","1","5","15","6","18","4","3","16","13","10","11"
"Opb0","1","16","1","7","14","5","9","4","15","17","2"
"dzG0","1","5","2","7","3","1","6","16","11","12","10"
"DmT0","1","3","14","15","12","1","6","18","16","8","13"
"Ydo0","1","13","9","8","17","15","4","5","11","2","10"
"BkH0","1","8","12","5","2","4","6","9","13","14","10"
"kmX0","1","5","9","16","10","6","13","11","2","1","14"
"jyJ0","1","16","3","17","14","18","6","10","9","11","1"
"gWE0","1","15","13","1","9","16","17","7","18","12","5"
"hM+0","1","17","11","9","8","14","6","18","3","1","7"
"jRk0","1","14","8","12","6","16","7","15","5","13","4"
"N9s0","1","15","14","8","2","6","1","3","4","7","12"
"P0l0","1","13","12","11","17","4","14","10","2","7","9"
"V730","1","5","17","9","4","14","18","6","11","10","12"
"zGE0","1","6","10","4","3","9","18","7","5","8","14"
"v+d0","8","18","3","1","11","6","15","9","2","17"
